店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
居酒屋再会,江坂駅 312m,居酒屋,,3.04,6,227,-,-,大阪府吹田市江の木町17-37
ファミリーマート 吹田千里山西店,緑地公園駅 422m,コンビニ・スーパー,,,1,3,-,-,大阪府吹田市千里山西4-38-10
curation,万博記念公園駅 878m,イタリアン,,3.6,79,6831,-,"￥1,000～￥1,999",大阪府吹田市山田東2-20-1
焼肉・もつ鍋 本日のおすすめ 吹田店,宇野辺駅 150m,焼肉、居酒屋、もつ鍋,,3.08,12,198,"￥3,000～￥3,999",-,大阪府吹田市青葉丘南3-58
やまや,関大前駅 282m,居酒屋,,3.02,3,49,-,-,大阪府吹田市千里山東1-17-50
鉄板Dining Kento House,江坂駅 273m,お好み焼き、鉄板焼き、ステーキ,,3.08,25,2345,"￥5,000～￥5,999",-,大阪府吹田市広芝町9-12 第11マイタビル 1F
200円カレー 関大前店,関大前駅 299m,カレー,,3.05,12,974,-,～￥999,大阪府吹田市千里山西1-15-30
阪急OASIS 南千里店,南千里駅 217m,コンビニ・スーパー,,3.02,2,16,-,-,大阪府吹田市津雲台1-1-30
Cafe mogu mogu,関大前駅 421m,カフェ、パスタ、ケーキ,,3.09,11,236,～￥999,～￥999,大阪府吹田市千里山東1-11-17
lien bonheur Miwa,山田駅 403m,イタリアン,,,1,19,-,-,大阪府吹田市山田西4-3-13 JP万博南 1F
新時代 大阪関大前店,関大前駅 254m,居酒屋、焼き鳥、鳥料理,,3.09,22,400,"￥1,000～￥1,999",-,大阪府吹田市千里山東1-7-22
若菜そば 阪急南千里店,南千里駅 107m,そば,,3.02,11,95,-,-,大阪府吹田市津雲台1-1-1
フレスコ 江坂店,江坂駅 383m,コンビニ・スーパー,,3.01,2,8,-,-,大阪府吹田市江坂町1-14-29
たかみ,吹田市,焼き鳥、鳥料理、居酒屋,,3.06,7,204,"￥2,000～￥2,999",-,大阪府吹田市五月が丘北2-16
吉たこ,万博記念公園駅 254m,たこ焼き,,3.26,27,218,-,-,大阪府吹田市千里万博公園1-1
チャトパタ,江坂駅 589m,インド料理、インドカレー,,3.44,154,4328,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市広芝町22-15
ヒロコーヒー 江坂店,江坂駅 90m,喫茶店,,3.15,142,2411,～￥999,"￥1,000～￥1,999",大阪府吹田市江坂町1-23-19 米沢第５江坂　Ｂ１Ｆ
がんちゃん,吹田（ＪＲ）駅 518m,ラーメン,,3.17,47,728,"￥1,000～￥1,999",-,大阪府吹田市内本町2-2-32
プチマダム カフェ,吹田（ＪＲ）駅 595m,カフェ,,,1,29,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市片山町4-14-19
天麩羅マフィア,江坂駅 230m,天ぷら,,3.09,22,315,"￥2,000～￥2,999",-,大阪府吹田市江坂町1-18-18 江坂パークビル 1F
生成,吹田市,日本料理,,,1,51,-,-,大阪府吹田市竹谷町3-5
炭火焼肉たむら パナソニックスタジアム吹田店,万博記念公園駅 882m,弁当,,3.07,7,31,-,-,大阪府吹田市千里万博公園3-3
江坂ふぐCRAB,江坂駅 496m,ふぐ,,3.12,13,419,"￥8,000～￥9,999",-,大阪府吹田市垂水町3-25-25
タマキング,千里丘駅 601m,居酒屋,,3,1,29,"￥3,000～￥3,999",-,大阪府吹田市長野東14-7
Bar&Dining Merry Bunch,吹田市,バー,,3.03,1,31,"￥3,000～￥3,999",-,大阪府吹田市五月が丘北1-10 スカイ五月が丘北ビル 2F
ル・ジャルダン,江坂駅 872m,中華料理,,3.07,15,209,-,"￥2,000～￥2,999",大阪府吹田市芳野町13-45 アメニティ江坂内
炭 style,岸辺駅 160m,居酒屋,,,2,127,"￥4,000～￥4,999",-,大阪府吹田市岸辺南1-25-14
セブンイレブン 江坂公園前店,江坂駅 342m,コンビニ・スーパー,,3.01,2,7,-,-,大阪府吹田市垂水町3-34-15
ミスタードーナツ 南千里駅前ショップ,南千里駅 134m,ドーナツ,,3.03,18,92,-,-,大阪府吹田市津雲台1-1-2
筍食天,吹田（ＪＲ）駅 163m,居酒屋、食堂,,3.02,3,13,"￥1,000～￥1,999",-,大阪府吹田市朝日町2 吹田さんくす2番街 B1F
さぬきうどん職人 めりけんや 江坂店,江坂駅 91m,うどん,,3.17,111,1786,～￥999,～￥999,大阪府吹田市豊津町9-40
izumicho cafe,吹田（阪急）駅 278m,カフェ,,3.04,3,86,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市泉町5-1-1
九州らーめん 亀王 江坂店,江坂駅 198m,ラーメン、餃子,,3.06,107,843,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市江坂町1-17-8
スカイレストラン,阪大病院前駅 181m,フレンチ、洋食、日本料理,,3.31,61,670,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市山田丘2-15 大阪大学医学部附属病院 14F
ハラペコぼうやとガッツリお嬢,吹田（阪急）駅 251m,食堂、カフェ,,3.08,11,216,-,-,大阪府吹田市泉町1-20-1
すなおや 江坂店,江坂駅 269m,居酒屋、海鮮,,3.32,79,2664,"￥5,000～￥5,999",-,大阪府吹田市江の木町-1-15
家族亭 江坂店,江坂駅 93m,そば、うどん,,3.04,34,187,"￥1,000～￥1,999",-,大阪府吹田市豊津町9-40 東急プラザ江坂 B1F
SARU BACON,江坂駅 242m,ビアバー、ドイツ料理、バル,,3.56,411,17989,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市江坂町1-18-18 えさかパークビルディング　１Ｆ
おはぎの丹波屋 北千里店,北千里駅 103m,和菓子,,3.01,2,24,-,-,大阪府吹田市古江台4-119 ディオス北千里5番館
銀のさら 江坂店,吹田（阪急）駅 288m,寿司,,,2,9,-,-,大阪府吹田市泉町5-1-1 大幸ビル
阪急ベーカリー香房 千里山店,千里山駅 79m,パン,,3.01,1,11,-,-,大阪府吹田市千里山霧が丘22-1 BiVi 千里山 1F
フレンチ洋食 YOKOO,万博記念公園駅 917m,サンドイッチ,,3.08,8,859,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園3-3 Panasonic Stadium
めしや 宮本むなし JR吹田駅前店,吹田（ＪＲ）駅 65m,食堂、丼、創作料理,,3.05,26,171,～￥999,～￥999,大阪府吹田市朝日町1-106 さんくす1番館
味平,吹田市,中華料理,,3.01,3,48,-,-,大阪府吹田市山田南30-10
サントリー・オールドバー,江坂駅 129m,バー、ピザ、お好み焼き,,3.18,31,797,"￥3,000～￥3,999",-,大阪府吹田市豊津町9-40 江坂東急ビル　Ｂ１Ｆ
シェフのハンバーグ,吹田（ＪＲ）駅 521m,ハンバーグ,,3.03,10,171,-,-,大阪府吹田市内本町2-2-8
丹波屋 吹田店,吹田（ＪＲ）駅 204m,和菓子,,3.01,3,31,-,-,大阪府吹田市旭町14-1
ファミリーマート 吹田上山手町店,吹田市,コンビニ・スーパー,,3.02,1,2,-,-,大阪府吹田市上山手町27-8
喫茶＆バー 5号門,関大前駅 798m,バー,,3,2,13,-,-,大阪府吹田市上山手町1-29
来来亭 関大前店,関大前駅 269m,ラーメン,,3.04,74,516,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市円山町6-26
小西食品,桃山台駅 375m,売店,,,2,8,-,-,大阪府吹田市竹見台3-6-6
海鮮屋台まいこ 関大前店,関大前駅 271m,居酒屋、海鮮,,3.05,7,76,"￥2,000～￥2,999",-,大阪府吹田市千里山東1-7-31
はま寿司 千里藤白台店,吹田市,回転寿司,,3.05,26,125,-,"￥1,000～￥1,999",大阪府吹田市藤白台5-7-70
らぁ麺 TORRY,吹田市,ラーメン、つけ麺、汁なし担々麺,,3.58,226,6485,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市吹東町35-29
サーティワンアイスクリーム ららぽーとEXPOCITY店,万博記念公園駅 505m,ジェラート・アイスクリーム,,3.02,14,78,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F
千一,吹田（ＪＲ）駅 352m,居酒屋,,,1,31,-,-,大阪府吹田市片山町1-12-4
おから家江坂,江坂駅 623m,居酒屋、食堂,,3.09,16,175,-,～￥999,大阪府吹田市江坂町1-12-1
サイドビー,吹田（ＪＲ）駅 502m,パスタ,,3.05,3,7,-,-,大阪府吹田市内本町2-2-6
バーミヤン 千里丘店,吹田市,ファミレス、中華料理,,3.05,47,192,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市山田南1-1 イズミヤ千里丘店別館 １Ｆ
雅たこ,南千里駅 196m,たこ焼き,,3.07,13,103,-,～￥999,大阪府吹田市津雲台1-1-30 ガーデンモール南千里 2F
日本酒Cafe CHOCOTTO,江坂駅 442m,日本酒バー,,3.03,2,133,-,-,大阪府吹田市垂水町3-29-2 1F
炭酒屋 よしお,江坂駅 331m,居酒屋,,3.06,9,213,-,-,大阪府吹田市垂水町3-35-25 タケダビルT1 1F
鶴亀,山田駅 713m,食堂,,3.09,23,115,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園11-11 源気温泉 万博おゆば
ゴルフレストラン,江坂駅 958m,食堂、そば、うどん,,3.01,5,17,-,-,大阪府吹田市芳野町13-90 江坂ゴルフセンター内
王将,吹田（ＪＲ）駅 502m,餃子、中華料理,,3.08,16,119,-,～￥999,大阪府吹田市元町33-17
横浜家系ラーメン 憲兵家,関大前駅 280m,ラーメン、つけ麺、油そば・まぜそば,,3.19,49,403,～￥999,～￥999,大阪府吹田市千里山東1-16-7
よつ葉のお店 ぷくぷくショップ,相川駅 506m,その他,,,7,,-,-,大阪府吹田市南高浜町1-17-2
Lien,吹田市,パン,,3.08,10,91,-,-,大阪府吹田市五月ヶ丘北2-52 千里スカイラーク113号
パントゥーミー,吹田（ＪＲ）駅 207m,パン,,3.08,19,372,-,-,大阪府吹田市元町6-4
ラーメン 工藤,岸辺駅 233m,ラーメン,,3.56,298,8230,～￥999,～￥999,大阪府吹田市岸辺南1-24-8
ホテルクライトン江坂,江坂駅 273m,ホテル,,,3,17,-,-,大阪府吹田市豊津町1-40
持ち帰り専門店 串かつ ますや,吹田（ＪＲ）駅 249m,串揚げ,,,1,45,-,"￥1,000～￥1,999",大阪府吹田市元町21-16
木下名酒店,南千里駅 213m,その他,,3.02,5,99,-,-,大阪府吹田市津雲台1-1-30 阪急南千里駅前トナリエ 1F
コトブキカレー,下新庄駅 834m,カレー,,3.17,28,411,～￥999,～￥999,大阪府吹田市寿町2-4-10
麺屋 こころ 関大前店,関大前駅 204m,台湾まぜそば,,3.01,13,164,-,-,大阪府吹田市千里山東1-6-16
マクドナルド 江坂ハートランド店,江坂駅 84m,ハンバーガー,,3.06,49,238,～￥999,～￥999,大阪府吹田市豊津町9-44 ハートランド江坂 1Ｆ
コーヒーハウス絹,江坂駅 300m,喫茶店,,3.13,17,281,-,～￥999,大阪府吹田市広芝町11-1
居酒屋 ふるさと,吹田（ＪＲ）駅 296m,居酒屋,,3.05,7,75,-,-,大阪府吹田市元町-7-4
プラガティ,吹田（阪急）駅 388m,インド料理、ネパール料理,,3.08,14,108,-,"￥1,000～￥1,999",大阪府吹田市泉町2-47-28
cafe may,千里丘駅 603m,カフェ,,3.07,7,249,-,-,大阪府吹田市長野東14-7
ミルフィーユ 本店,吹田市,ケーキ,,3.35,96,1541,"￥1,000～￥1,999",-,大阪府吹田市五月が丘北25-38
洋食 curilu,山田駅 705m,洋食,,3.09,17,364,-,～￥999,大阪府吹田市津雲台7-5-10
オリエント,吹田（ＪＲ）駅 100m,カフェ,,3.12,12,233,-,～￥999,大阪府吹田市朝日町2-101 イオン吹田店専門店街 2F
駅うどん　吹田店,吹田（ＪＲ）駅 54m,うどん、そば、天ぷら,,3.24,47,295,～￥999,～￥999,大阪府吹田市朝日町1 吹田さんくす１番館　１階
あほや 亥の子谷店,吹田市,たこ焼き,,3,5,44,-,-,大阪府吹田市五月が丘東13-5
カフェ エイト,江坂駅 465m,カフェ,,3.31,56,937,-,"￥1,000～￥1,999",大阪府吹田市垂水町3-24-14
大阪大学生活協同組合 購買工学部店,阪大病院前駅 882m,その他,,3,1,3,-,-,大阪府吹田市山田丘2-1
割烹・寿司 むろ井,吹田（ＪＲ）駅 240m,日本料理、寿司,,3.03,6,74,-,-,大阪府吹田市朝日町15-6
喫茶パンダ 北千里店,北千里駅 230m,喫茶店,,3.05,8,66,-,～￥999,大阪府吹田市古江台4-2
ディノア,関大前駅 676m,学生食堂,,3.08,20,146,-,～￥999,大阪府吹田市千里山東3-10-1 関西大学千里山キャンパス 凛風館 2F
あびる寿司,江坂駅 623m,寿司,,3.18,30,610,"￥4,000～￥4,999",-,大阪府吹田市垂水町3-10-20 雅ビル　１Ｆ
The Spice House,岸辺駅 168m,インドカレー,,,,,-,-,大阪府吹田市岸部南1-17-8
バー マクレーン,吹田（ＪＲ）駅 256m,バー,,,1,18,-,-,大阪府吹田市昭和町10-22
スシロー 南吹田店,南吹田駅 378m,寿司、回転寿司,,3.04,43,169,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市穂波町21-19
天ぷらの山 吹田グリーンプレイス店,吹田（ＪＲ）駅 408m,天ぷら,,3.4,103,1505,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市片山町2-3-3 吹田グリーンプレイス
ヒロ コーヒー 本店,江坂駅 286m,喫茶店、ケーキ,,3.23,308,7056,-,～￥999,大阪府吹田市広芝町9-19
ながた,吹田（ＪＲ）駅 658m,そば、親子丼、かつ丼,,3.14,31,331,-,～￥999,大阪府吹田市日の出町1-4 1F
ハラペコぼうや,吹田（阪急）駅 192m,カフェ,,3.04,5,121,-,-,大阪府吹田市泉町1-15-2
ピッツァリア アッセ 吹田片山店,吹田（ＪＲ）駅 475m,ピザ、イタリアン、パスタ,,3.17,52,936,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市片山町2-3-15 吹田グリーンプレイス
コトブキヤ,関大前駅 159m,パブ,,3.01,1,11,-,-,大阪府吹田市円山町20-25
台湾茶房 婉,吹田市,台湾料理,,3.15,16,843,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市五月が丘南32-1 ハイタウン樽澤 105
make noodle かしぐ,江坂駅 272m,ラーメン,,3.52,254,5872,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-20-30 キャロル江坂 1F
パネテリア フラゴラ,関大前駅 404m,パン,,3.11,16,406,-,-,大阪府吹田市千里山東1-17-39
ナゲット ナゲット,万博記念公園駅 392m,鳥料理,,3.1,29,267,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園10 お祭り広場横
タリーズコーヒー ららぽーとEXPOCITY店,万博記念公園駅 468m,カフェ,,3.06,40,178,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F
セブンイレブン ハートインJR岸辺駅改札口,岸辺駅 19m,コンビニ・スーパー,,3.01,3,10,"￥1,000～￥1,999",～￥999,大阪府吹田市岸部南1-16-1 駅改札外
シラス,関大前駅 257m,串揚げ,,3.08,15,558,-,-,大阪府吹田市千里山西1-15-34
サニーストンホテル,江坂駅 179m,ホテル,,3.08,8,49,-,-,大阪府吹田市広芝町10-3
ファミリーマート 吹田青葉丘店,宇野辺駅 234m,コンビニ・スーパー,,3,1,4,-,-,大阪府吹田市青葉丘南1-33
純華楼 江坂店,江坂駅 438m,中華料理、四川料理,,3.33,78,4932,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂江の木町8-12 足立第二ビル 1F
五右衛門 吹田店,吹田市,パスタ,,3.05,29,205,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市佐井寺南が丘10-3
鶏白湯そば 岸良,吹田市,ラーメン,,3.48,182,3288,"￥1,000～￥1,999",～￥999,大阪府吹田市五月が丘北2-16
エサカイタリアン オカムー,江坂駅 388m,イタリアン、ピザ,,3.36,85,4505,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府吹田市豊津町23-5
KOHYO 江坂店,江坂駅 192m,コンビニ・スーパー,,3,2,36,-,-,大阪府吹田市江の木町1-30
江坂ひとときテラス,江坂駅 580m,カフェ,,3.12,14,753,-,"￥1,000～￥1,999",大阪府吹田市江坂町2-2-15
和み,阪大病院前駅 613m,カフェ,,3.09,12,79,-,～￥999,大阪府吹田市千里万博公園9-2
炭火焼肉　元喜,吹田市,焼肉、ホルモン、韓国料理,,3.04,9,361,"￥3,000～￥3,999",-,大阪府吹田市五月が丘北2-52-112 千里スカイラーク　１Ｆ
三駒寿司,吹田市,寿司,,3.02,1,43,-,-,大阪府吹田市山田南21-7
キッチンオリジン 吹田店,吹田（ＪＲ）駅 244m,弁当,,3,1,10,-,-,大阪府吹田市朝日町15-24
ドミノ・ピザ 吹田岸部店,岸辺駅 805m,ピザ,,3,1,8,-,-,大阪府吹田市岸部中2-4-11
仁平,吹田（ＪＲ）駅 491m,居酒屋,,,6,,-,-,大阪府吹田市片山町4-2-12
うまから本舗 関大前店,関大前駅 332m,からあげ、食堂,,3.04,6,125,～￥999,～￥999,大阪府吹田市千里山東1-9-13
さくらじま,千里丘駅 578m,居酒屋,,,18,,-,-,大阪府吹田市長野東14-4
森の洋食 グリルみんぱく,万博記念公園駅 626m,洋食、ファミレス、カフェ,,3.22,34,311,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園10-1 国立民族学博物館 1F
Le Porc,千里丘駅 591m,イタリアン、創作料理,,3.18,19,975,-,"￥1,000～￥1,999",大阪府吹田市長野東14-5
プチプランス クグロフ ららぽーとEXPOCITY店,万博記念公園駅 535m,ケーキ、カフェ,,3.13,83,745,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY
焼肉味園 江坂駅前店,江坂駅 74m,焼肉,,3.56,77,2326,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市豊津9-15 日本興業ビル 3F
#acai BOWL,関大前駅 428m,スイーツ,,3.07,7,49,-,-,大阪府吹田市千里山東1-18-14
ツインリバーブ,江坂駅 430m,バー,,3.04,3,31,-,-,大阪府吹田市江の木町8-24 小川ビル 1F
レストランバー 雅,江坂駅 56m,ダイニングバー、バー、鍋,,,28,,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-23-35 コーポ江坂ビル 4F
大阪大学医学部附属病院一般食堂,阪大病院前駅 187m,食堂,,3.09,27,193,-,～￥999,大阪府吹田市山田丘2-15 大阪大学医学部附属病院 1F
ルマタン・ドゥ・ラヴィ,山田駅 579m,パン、サンドイッチ,,3.51,93,5480,-,-,大阪府吹田市山田西3-57-16
ファミリーマート 佐井寺南が丘店,吹田市,コンビニ・スーパー,,3.02,1,4,-,-,大阪府吹田市佐井寺南が丘9-6
無添くら寿司 江坂店,緑地公園駅 683m,回転寿司,,3.04,45,273,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町5-15-10
イズミヤ 千里丘店,吹田市,コンビニ・スーパー,,,1,10,-,-,大阪府吹田市山田南1-1
憩,岸辺駅 871m,喫茶店,,,9,,-,-,大阪府吹田市岸部中2-2-27
らーめん鱗 江坂店,江坂駅 312m,ラーメン,,3.48,467,8919,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町16-5
播磨屋本店 大阪江坂店,江坂駅 304m,和菓子、甘味処、カフェ,,3.08,44,791,-,"￥3,000～￥3,999",大阪府吹田市江の木町17-1 江坂全日空ビル 1F
キャッスル,豊津駅 862m,パン、サンドイッチ、洋菓子,,3.08,14,287,-,-,大阪府吹田市 南金田1-3-30
鮨処 水無月,江坂駅 625m,寿司、海鮮,,3.58,35,3335,"￥8,000～￥9,999",-,大阪府吹田市江坂町1-12-1 家村ビル
Crepe Shop SARU 江坂駅前店,江坂駅 125m,クレープ・ガレット,,,14,,-,-,大阪府吹田市豊津町10-7 アカツキハイツ 1F
ガルル珈琲,吹田市,カフェ、喫茶店,,3.49,236,6779,～￥999,～￥999,大阪府吹田市上山手町26-7
エ プロント ビエラ岸辺健都店,岸辺駅 233m,カフェ、パン、バー,,3.05,42,327,～￥999,～￥999,大阪府吹田市岸部新町5-45 VIERRA岸辺健都 2F
IZAKAYA マウンテン,吹田市,串揚げ、居酒屋,,3.05,3,45,"￥3,000～￥3,999",-,大阪府吹田市山田東1-23-21
三楽,江坂駅 520m,居酒屋,,3.07,10,456,"￥3,000～￥3,999",-,大阪府吹田市垂水町3-31-31
ケンタッキーフライドチキン 吹田店,吹田（ＪＲ）駅 225m,からあげ,,3.01,10,42,-,-,大阪府吹田市朝日町15-3
Cafe&Bal Magis,江坂駅 621m,カフェ,,3.17,25,798,"￥1,000～￥1,999",～￥999,大阪府吹田市垂水町3-10-20 1F
おやつのusamame,千里山駅 58m,スイーツ,,3,3,23,-,-,大阪府吹田市千里山西5-2-5 アクネビル 1F
Hilo’s Wagon,関大前駅 580m,スイーツ、ピザ、タコス,,,1,1,-,-,大阪府吹田市山手町3-3-35 関西大学 千里山キャンパス
とり琉 桃山台駅ビル店,桃山台駅 45m,焼き鳥,,3.07,9,117,"￥2,000～￥2,999",-,大阪府吹田市桃山台5-1-C20 senri MOMOSTA B1F
きよちゃん家,吹田（ＪＲ）駅 378m,パン、カフェ,,3.01,2,87,-,～￥999,大阪府吹田市昭和町18-4
天ぷら ささき,千里丘駅 457m,天ぷら,,3.34,45,1790,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市長野東18-4
和洋折衷 ここ,江坂駅 346m,居酒屋,,3.04,18,475,-,～￥999,大阪府吹田市江坂町1-14-23 １Ｆ
街かど屋 江坂店,江坂駅 131m,食堂,,3.05,54,391,～￥999,-,大阪府吹田市江坂町1-22-23 江坂中央ビル1F
セブンイレブン 阪急山田駅前店,山田駅 36m,コンビニ・スーパー,,3.02,1,2,-,-,大阪府吹田市山田西4-2-86
レストランかもしま,江坂駅 523m,食堂,,3.08,16,436,-,～￥999,大阪府吹田市垂水町3-22-20 ２Ｆ
ピザハット 南千里店,吹田市,ピザ,,3,2,7,-,-,大阪府吹田市山田南30-35
らーめん これこれ,江坂駅 263m,ラーメン,,3.7,1340,25774,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-20-30 キャロル江坂 1F
凛,千里山駅 56m,そば、居酒屋,,3.1,12,304,-,-,大阪府吹田市千里山西5-2-5 加藤ビル 2F
スターバックスコーヒー 江坂オッツ店,江坂駅 120m,カフェ,,3.09,73,356,～￥999,-,大阪府吹田市豊津町14-8
シーユーアゲインやきやきルーム,豊津駅 36m,お好み焼き,,3,1,12,-,-,大阪府吹田市山手町2-7-7
たこたまや 江坂店,江坂駅 131m,たこ焼き,,3.05,3,103,-,-,大阪府吹田市豊津町10-11
参と壱,吹田（ＪＲ）駅 559m,居酒屋、海鮮、寿司,,3.08,8,224,"￥4,000～￥4,999",-,大阪府吹田市片山町1-25-7
旬菜 神その,南千里駅 760m,日本料理、海鮮,,3.07,13,572,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市高野台1-6-11 高野台近隣センター内
ふつうの居酒屋,吹田（ＪＲ）駅 394m,居酒屋、食堂、弁当,,3.05,5,128,"￥3,000～￥3,999",～￥999,大阪府吹田市高浜町8-6 パラジュール高浜 1F
