店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
楽楽 阪急豊津駅店,豊津駅 38m,お好み焼き,,3.08,13,125,-,～￥999,大阪府吹田市山手町2-7-3
Bar BoomBoom,千里丘駅 587m,バー,,3.02,1,18,-,-,大阪府吹田市長野東14-5
テニスレストラン,江坂駅 794m,食堂、喫茶店,,3.01,1,20,-,-,大阪府吹田市芳野町13-50 江坂テニスセンター
アラウンドカフェ,山田駅 624m,カフェ,,3.04,4,112,-,-,大阪府吹田市山田東4-41 1F
セブン-イレブン ハートイン JR吹田駅東改札口店,吹田（ＪＲ）駅 121m,コンビニ・スーパー,,,1,3,"￥1,000～￥1,999",～￥999,大阪府吹田市朝日町1-1 駅改札外
いっぷく屋,山田駅 721m,カフェ、レストラン,,3,3,12,-,-,大阪府吹田市千里万博公園11-11 万博　おゆば施設内
三男坊,江坂駅 836m,居酒屋,,3.03,5,63,"￥2,000～￥2,999",～￥999,大阪府吹田市南金田2-14-8 1Ｆ
彩哲,吹田（ＪＲ）駅 183m,ラーメン,,3.7,488,10654,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市朝日町5-24
丸源ラーメン 吹田千里店,岸辺駅 890m,ラーメン、つけ麺、餃子,,3.07,77,297,-,～￥999,大阪府吹田市岸部北5-11-1
手づくり弁当の店 サフラン,北千里駅 592m,弁当,,,1,15,-,-,大阪府吹田市青山台2-1-9
にぎり長次郎 吹田原町店,吹田市,回転寿司,,3.01,6,30,-,-,大阪府吹田市原町2-32-1
いっぺい飯店,江坂駅 476m,中華料理,,3.07,9,215,-,"￥1,000～￥1,999",大阪府吹田市江坂町2丁目4-25 104
かもん,岸辺駅 179m,居酒屋,,3.07,8,231,-,-,大阪府吹田市岸辺南2-2-15 サンハイツ岸辺 1F
Mr.GREEK,関大前駅 332m,スイーツ、カフェ,,,7,,-,-,大阪府吹田市千里山東1-14-4 MAX'S関大 前1F
PATRA,関大前駅 240m,バー,,,4,,-,-,大阪府吹田市千里山東1-7-20
リポーズプラス,関大前駅 456m,カフェ,,3.02,2,127,-,-,大阪府吹田市千里山東1-12-1
ほっかほっか亭 片山町,吹田（ＪＲ）駅 584m,弁当,,,6,,-,-,大阪府吹田市片山町4-14-22
京食パン工房 ここん 吹田店,吹田（ＪＲ）駅 210m,パン,,,16,,-,-,大阪府吹田市朝日町14-9 サンセール吹田 1F
サンドウィッチハウスグランディール,関大前駅 411m,サンドイッチ,,3.03,3,50,-,-,大阪府吹田市千里山東1-18-4 FERRA4番館
レストラン さくら,宇野辺駅 512m,日本料理、洋食,,3.02,1,2,-,-,大阪府吹田市青葉丘南10-1
無添くら寿司 トナリエ南千里店,南千里駅 194m,回転寿司,,3.06,44,237,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市津雲台1-1-30 トナリエ南千里店 2F
藁ざんまい,北千里駅 584m,海鮮,,3.05,8,207,-,-,大阪府吹田市青山台2-1-4 青山台近隣センター
ハレノチ晴 吹田本店,吹田（ＪＲ）駅 398m,ラーメン、油そば・まぜそば,,3.55,354,6620,～￥999,～￥999,大阪府吹田市片山町2-4-1 吹田グリーンプレイス
ニュースカフェ,江坂駅 366m,食堂、ケーキ、カフェ,,3.41,127,4414,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町16-20
ドリップカフェ,吹田市,カフェ、パン,,3.04,5,27,-,～￥999,大阪府吹田市岸部北4-7-1 吹田サービスエリア 下り線
酒スタンド 魚蔵,江坂駅 344m,立ち飲み,,3.26,36,1091,"￥3,000～￥3,999",～￥999,大阪府吹田市垂水町3-35-25 T&Tレジャービル 1F
セブンイレブン エスコタウン店,江坂駅 147m,コンビニ・スーパー,,3,4,9,-,-,大阪府吹田市豊津町10-2
牛タン侍,江坂駅 84m,居酒屋、牛タン、ホルモン,,,110,,"￥4,000～￥4,999",-,大阪府吹田市豊津町9-44 ハートランド江坂 B1F
町村農場 ららぽーとEXPOCITY店,万博記念公園駅 465m,ソフトクリーム,,3.07,52,562,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F
じゃんぼ總本店 北千里駅前店,北千里駅 51m,たこ焼き、お好み焼き、焼きそば,,3,2,32,-,-,大阪府吹田市古江台4-119 ディオス北千里5番館 1F
らーめん亀王 南千里店,南千里駅 176m,ラーメン,,3.18,37,161,"￥1,000～￥1,999",～￥999,大阪府吹田市津雲台1-1-30
梅澤,江坂駅 362m,焼き鳥、鳥料理、居酒屋,,3.32,52,2743,"￥3,000～￥3,999",-,大阪府吹田市豊津町1-50
三洋,吹田（ＪＲ）駅 92m,バー、カレー、サンドイッチ,,3.17,35,1488,-,～￥999,大阪府吹田市朝日町2-123 吹田さんくす2番館　さんくす味ののれん街 Ｂ１Ｆ
レストランAOZORA,北千里駅 947m,洋食,,3.05,4,11,-,-,大阪府吹田市山田丘2-1 大阪大学工学研究科U１E棟 15F
高砂,千里山駅 445m,和菓子,,3,5,35,-,-,大阪府吹田市千里山高塚2-3
元町カレー,吹田（ＪＲ）駅 413m,カレー,,3.05,9,103,-,～￥999,大阪府吹田市元町7-16
日本のいいもの食堂 ハレとケ,山田駅 254m,食堂、寿司、カフェ,,3.38,90,2519,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市津雲台5-11-1-3
珉龍 吹田本店,吹田（ＪＲ）駅 472m,中華料理、ラーメン、餃子,,3.24,51,1146,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市元町33-13
コリナコーヒー,吹田（ＪＲ）駅 457m,カフェ,,3.37,61,3168,-,"￥1,000～￥1,999",大阪府吹田市片山町2-11-70
青山,正雀駅 167m,喫茶店,,3.03,5,70,-,～￥999,大阪府吹田市岸部南1-11-3
タンバリン食堂,吹田市,その他,,3,3,512,-,-,大阪府吹田市樫切山18-8 1F
うどん 司,吹田（ＪＲ）駅 410m,うどん,,3.32,51,898,-,"￥1,000～￥1,999",大阪府吹田市片山町3-33-17
わかば,千里丘駅 600m,居酒屋、焼き鳥,,3.23,37,1307,"￥3,000～￥3,999",-,大阪府吹田市長野東14-5
阪急ベーカリーショップ 南千里店,南千里駅 214m,パン、サンドイッチ,,3.06,7,35,-,-,大阪府吹田市津雲台1-1-30 阪急オアシス南千里店内
ガスト カリーノ江坂店,江坂駅 79m,ファミレス,,3.03,11,36,"￥1,000～￥1,999",-,大阪府吹田市豊津町9-40 カリーノ江坂 B1F
モノクローム,吹田（ＪＲ）駅 188m,喫茶店,,3.07,10,57,-,～￥999,大阪府吹田市朝日町2-121 吹田さんくす2番館 1F
食彩酒屋びーわん,吹田（ＪＲ）駅 115m,中華料理、居酒屋,,3.24,26,223,-,～￥999,大阪府吹田市朝日町 2吹田さんくす2番街味ののれん街B-1
glacier concorde,千里丘駅 666m,ジェラート・アイスクリーム,,3.21,33,1015,-,-,大阪府吹田市千里丘西8-1
サンミッシェル,千里山駅 79m,パン、ケーキ,,3.01,1,23,-,-,大阪府吹田市千里山西1-41-31
九州長浜ラーメン 南州屋,吹田（ＪＲ）駅 972m,ラーメン,,3.55,209,4097,"￥1,000～￥1,999",～￥999,大阪府吹田市天道町13-7
とっとこ,岸辺駅 954m,ラーメン,,3.18,43,644,～￥999,～￥999,大阪府吹田市岸部北5-12‐9
グリーンガーデン,江坂駅 971m,洋食、喫茶店,,3.04,3,13,-,"￥1,000～￥1,999",大阪府吹田市芳野町13-90 江坂ゴルフセンター内
炭焼料理ちさと,吹田市,焼き鳥,,3.03,2,47,-,-,大阪府吹田市五月が丘東13-1
阪急OASIS 千里山竹園店,緑地公園駅 455m,コンビニ・スーパー,,,3,7,-,-,大阪府吹田市千里山竹園1-1-1
バルベラ,関大前駅 371m,イタリアン、パスタ、ワインバー,,3.26,47,2382,"￥6,000～￥7,999",-,大阪府吹田市千里山東1-10-1
ザ・めしや 吹田穂波店,吹田（阪急）駅 475m,食堂,,3.04,34,112,"￥1,000～￥1,999",-,大阪府吹田市穂波町3-27
Lusty,吹田（ＪＲ）駅 127m,その他,,,6,,-,-,大阪府吹田市元町5-23 レジャービルＥＩＷＡ
ばってんや長衛,豊津駅 80m,和菓子,,3.06,10,132,-,-,大阪府吹田市垂水町1-2-3
稲葉,阪大病院前駅 187m,うどん、食堂、親子丼,,3.16,25,183,～￥999,～￥999,大阪府吹田市山田丘2-15 大阪大学医学部付属病院　１Ｆ
ル ヴェール フレ,江坂駅 426m,フレンチ、ビストロ、野菜料理,,3.57,174,12058,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府吹田市豊津町5-17 スリーエスマンション1F
ＣｏＣｏ壱番屋 吹田豊津店,江坂駅 304m,カレー,,3.05,41,207,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町16-5
八角,岸辺駅 169m,居酒屋,,3.02,1,58,-,-,大阪府吹田市岸部南1-17-17
お食事・呑み処 すずめ,江坂駅 315m,居酒屋、食堂,,3.08,10,67,"￥2,000～￥2,999",～￥999,大阪府吹田市広芝町8-23
阪急OASIS 桃山台店,桃山台駅 191m,コンビニ・スーパー,,3,2,10,～￥999,～￥999,大阪府吹田市桃山台5-2-2
Sun&Umbrella,江坂駅 556m,ダイニングバー、食堂,,3.02,1,10,"￥3,000～￥3,999",～￥999,大阪府吹田市江坂町2-8-15 池上第三ビル 1F
ファミリーマート 吹田山田西店,吹田市,コンビニ・スーパー,,3,1,3,-,-,大阪府吹田市山田西2-7-16
THE ALLEY ららぽーとEXPOCITY,万博記念公園駅 404m,カフェ、ティースタンド、タピオカ,,3.01,4,21,-,-,大阪府吹田市千里万博公園2-1 三井ショッピングパークららぽーとＥＸＰＯＣＩＴＹ 1F
クイーン,江坂駅 56m,バー,,,5,,-,-,大阪府吹田市江坂町1-23-35 コーポ江坂ビル 8F
なななCrêpes,吹田市,クレープ・ガレット,,3.05,3,73,-,-,大阪府吹田市山田東1-23-21
ファミリーマート 吹田垂水町一丁目店,豊津駅 198m,コンビニ・スーパー,,3.02,1,3,-,-,大阪府吹田市垂水町1-7-6
メイ,江坂駅 297m,中華料理,,3.58,25,3101,"￥40,000～￥49,999",-,大阪府吹田市江坂町1-21-39 土泰第1ビル
どうとんぼり 神座 江坂店,江坂駅 153m,ラーメン,,3.09,22,100,-,"￥1,000～￥1,999",大阪府吹田市江の木町1-39
ミニストップ 吹田清水店,公園東口駅 971m,コンビニ・スーパー,,3.02,1,3,-,-,大阪府吹田市清水9-9
金爾,江坂駅 326m,居酒屋,,3.59,166,6563,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市豊津町2-22 マーキビル 1F
うるま島,江坂駅 332m,沖縄料理,,3.07,22,984,"￥2,000～￥2,999",-,大阪府吹田市垂水町3-35-25 タケダビル 1F
シャトレー洋菓子店,吹田（阪急）駅 175m,ケーキ,,3.15,22,286,-,-,大阪府吹田市寿町1丁目1-1
肉処 倉 吹田グリーンプレイス店,吹田（ＪＲ）駅 423m,焼肉,,3.17,44,827,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市片山町2-3-5
おやつ屋 ZAZIE,吹田市,ケーキ、洋菓子,,3.09,12,423,-,-,大阪府吹田市岸部北5-20-3 サンリッツ東千里 1F
佳肴の厨,桃山台駅 416m,弁当,,3,3,27,-,-,大阪府吹田市竹見台3-6-19
マクドナルド Dew阪急山田店,山田駅 41m,ハンバーガー,,3.03,18,69,～￥999,～￥999,大阪府吹田市山田西4-1-2 デュー阪急山田 2F
109シネマズ 大阪エキスポシティ,万博記念公園駅 407m,その他,,3.05,7,32,-,-,大阪府吹田市千里万博公園2-1 EXPOCITY内
和食 英,吹田市,海鮮、日本料理、居酒屋,,3.07,13,430,"￥5,000～￥5,999",-,大阪府吹田市山田市場1-4
サクラ カフェ,江坂駅 392m,カフェ,,3.04,3,68,-,～￥999,大阪府吹田市江の木町16-9 愛和会ビル 1F
阪急OASIS 吹田片山店,吹田（ＪＲ）駅 451m,コンビニ・スーパー,,,3,12,-,-,大阪府吹田市片山町2-4-1 吹田グリーンプレイス内 阪急オアシス
イオン 吹田店,吹田（ＪＲ）駅 162m,コンビニ・スーパー,,,3,,-,-,大阪府吹田市朝日町2-101
長城,千里山駅 126m,中華料理、餃子,,3.34,66,1826,"￥2,000～￥2,999",～￥999,大阪府吹田市千里山東2-22-18
焼鳥 景気屋,江坂駅 426m,焼き鳥,,3.09,15,531,"￥3,000～￥3,999",-,大阪府吹田市江の木町14-23 スタジオ108江坂
つけ麺 雀 関大前店,関大前駅 346m,つけ麺,,3.04,8,84,-,-,大阪府吹田市千里山東1-14-1
音カフェ カラカラ,吹田市,カフェ、ピザ、オーガニック,,3.03,2,335,-,"￥1,000～￥1,999",大阪府吹田市五月が丘東9-9 五月が丘ハイツ辻 1F
ファミリーマート 大阪万博公園店,山田駅 676m,コンビニ・スーパー,,3,2,5,-,-,大阪府吹田市千里万博公園13-9
やきとり屋とりどーる 吹田店,山田駅 225m,焼き鳥、からあげ,,3.03,23,420,-,-,大阪府吹田市山田西4-1-20
極麺 青二犀,相川駅 843m,ラーメン、つけ麺,,3.73,851,28324,-,～￥999,大阪府吹田市末広町21-53
レコンフォルテ,千里山駅 208m,フレンチ,,3.3,55,2558,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府吹田市千里山西1-37-1
大起水産 街のみなと 吹田山田店,山田駅 56m,寿司,,3.01,6,76,-,-,大阪府吹田市山田西4-1-2 Dew阪急山田 1F
人類みなまぜそば 江坂店,江坂駅 228m,油そば・まぜそば,,3.32,99,1081,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-13-38
焼き鳥 とりしん,吹田（ＪＲ）駅 401m,焼き鳥,,3.17,22,1193,"￥4,000～￥4,999",-,大阪府吹田市元町7-14
笑顔ノキラメキ,関大前駅 270m,ラーメン、台湾まぜそば,,3.38,119,2078,～￥999,～￥999,大阪府吹田市千里山東1-16-8
カルビープラス ららぽーとEXPOCITY店,万博記念公園駅 510m,スイーツ,,3.11,123,655,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F
一軒め酒場 吹田店,吹田（ＪＲ）駅 114m,居酒屋,,3.03,14,162,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市元町4-7
お好み焼　順ちゃん,江坂駅 506m,お好み焼き,,3.03,6,106,-,-,大阪府吹田市豊津町18-21
麺場 田所商店 千里丘店,吹田市,ラーメン,,3.33,134,1220,-,～￥999,大阪府吹田市山田南29-10
小路,岸辺駅 769m,お好み焼き,,3,3,27,-,-,大阪府吹田市岸部北2-5-10
石竹亭,吹田（阪急）駅 244m,居酒屋、海鮮、ろばた焼き,,3.03,5,96,-,-,大阪府吹田市泉町2丁目32番16号
麺や 六三六 江坂店,江坂駅 215m,つけ麺、ラーメン、中華料理,,3.11,220,2806,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江の木町1-8
ラスティネイル,吹田（ＪＲ）駅 303m,居酒屋、ダイニングバー,,3.04,4,170,-,-,大阪府吹田市昭和町10-17 2F
マクドナルド 千里丘イズミヤ店,吹田市,ハンバーガー,,3.03,12,21,～￥999,～￥999,大阪府吹田市山田南1-1 イズミヤ千里丘店 1F
オリビオ,宇野辺駅 543m,野菜料理、オーガニック,,3.06,9,271,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市青葉丘北7-2 OriginShipビル 1F
辻利兵衛本店 エキスポ万博店,万博記念公園駅 556m,和菓子、甘味処,,3.06,38,195,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY
BAR DAY IN THE LIFE,江坂駅 650m,バー、カフェ、レストラン,,3.05,7,393,"￥1,000～￥1,999",-,大阪府吹田市垂水町3-26-15 1F
LAWSON 吹田岸部中五丁目店,岸辺駅 560m,コンビニ・スーパー,,3.07,1,1,-,-,大阪府吹田市岸辺中5-19-7
ディルクス イズミヤ千里丘店1Fフードコート,吹田市,インドカレー,,3.07,14,49,-,～￥999,大阪府吹田市山田南1-1 イズミヤ千里丘店 1Fフードコート
江原 吹田店,吹田市,その他,,,10,,-,-,大阪府吹田市山田西1-1-11
まっちゃん食堂,吹田（ＪＲ）駅 444m,食堂、居酒屋,,3.02,1,19,"￥1,000～￥1,999",-,大阪府吹田市内本町2-1-24
ルピシア ららぽーとEXPOCITY店,万博記念公園駅 567m,カフェ,,,3,31,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F
jimmy's curry,吹田（ＪＲ）駅 158m,カレー,,3.03,3,112,"￥1,000～￥1,999",-,大阪府吹田市昭和町1-1
スパイスkitchen お出汁とスパイス時々ナッツ,吹田市,カレー,,3.09,15,259,-,"￥1,000～￥1,999",大阪府吹田市五月が丘北2-11
おうちごはん grin,山田駅 603m,弁当,,3,1,38,-,-,大阪府吹田市山田東4-41
バンブードール,宇野辺駅 636m,フレンチ,,3.48,32,2527,"￥4,000～￥4,999",-,大阪府吹田市新芦屋上12-12
快活クラブ 千里本店,緑地公園駅 590m,その他,,3.02,2,11,-,-,大阪府吹田市千里山竹園1-5-1 ＡＯＫＩ大阪千里総本店 3F
炭火串焼 鳥堂,宇野辺駅 389m,居酒屋、串焼き,,3.05,5,120,-,-,大阪府吹田市青葉丘南6-9 パルプラザ１０２Ａ
江坂 酒蔵,江坂駅 355m,居酒屋、ふぐ,,3.35,37,1029,"￥3,000～￥3,999",-,大阪府吹田市垂水町3-35-18 １Ｆ
ブラッスリーモジャ,千里山駅 115m,居酒屋、ビストロ、洋食,,3.07,10,365,"￥4,000～￥4,999",-,大阪府吹田市千里山西4-9-27
GODIVA ららぽーとEXPOCITY店,万博記念公園駅 524m,チョコレート,,3.08,74,271,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F
シアトルズ・ベスト・コーヒー 万博記念公園店,公園東口駅 395m,カフェ,,3.04,27,155,-,～￥999,大阪府吹田市千里万博公園10
茶夢,吹田市,喫茶店,,,1,3,-,-,大阪府吹田市五月が丘南8-11
炭火焼鳥 小鉄,吹田（阪急）駅 441m,焼き鳥,,3.07,14,499,"￥3,000～￥3,999",-,大阪府吹田市内本町1-11-10 楠本ビル 1F
酒や肴　夢千代日記,岸辺駅 164m,居酒屋、海鮮,,3.11,10,486,"￥2,000～￥2,999",-,大阪府吹田市岸部南1-17-8
手打ちうどん　讃岐,正雀駅 123m,うどん,,3.19,30,752,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市岸部南1-3-5 １F
寿司・肴・日本酒 しんなり,吹田（ＪＲ）駅 213m,居酒屋、寿司,,3.04,7,164,-,-,大阪府吹田市元町19-5 第3ケイエム・ワン 1F
てつ,南吹田駅 121m,居酒屋,,,2,,-,-,大阪府吹田市南吹田2-2-5
1ポンドのステーキハンバーグ タケル ららぽーとEXPOCITY店,万博記念公園駅 436m,ステーキ、ハンバーグ、カレー,,3.08,43,541,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY店 3F
料理とお酒 晴ル,吹田市,日本料理、海鮮,,3.01,2,199,-,-,大阪府吹田市五月ケ丘東13-3
大戸屋 カリーノ江坂店,江坂駅 118m,食堂,,3.08,95,595,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町9-40 カリーノ江坂 B1F
フレンズ,千里丘駅 580m,たこ焼き,,,6,,-,-,大阪府吹田市長野東14-1
がんこ なにわ市場食堂,吹田市,食堂,,3.07,10,36,-,-,大阪府吹田市岸部北4-8-1 吹田サービスエリア 上り線 2F
クローバー ベーカリー,千里丘駅 649m,パン,,3.07,6,170,-,～￥999,大阪府吹田市長野東3-20 ビューハイツ千里 1F
TERRA COFFEE ROASTERS 江坂公園roastery店,江坂駅 413m,カフェ,,3.12,15,716,～￥999,～￥999,大阪府吹田市垂水町3–30-9
ほっかほっか亭 岸辺駅前,岸辺駅 216m,弁当,,3,3,24,-,-,大阪府吹田市岸部南1-18-7
浅井酒店,上新庄駅 613m,立ち飲み,,3.02,4,65,-,-,大阪府吹田市東御旅町2-53
移転黒兵衛 江坂店,江坂駅 148m,ラーメン、中華料理、餃子,,3.2,139,1240,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町14-31
サニーサイド 吹田佐井寺店,吹田市,パン,,3.16,76,1564,-,～￥999,大阪府吹田市佐井寺南ヶ丘15-3
ダイエー 江坂駅前店,江坂駅 118m,コンビニ・スーパー,,3.04,6,25,-,-,大阪府吹田市豊津町10-7
花車,吹田市,寿司,,3.04,3,44,-,-,大阪府吹田市山田東1-35-12
業務スーパー 吹田原町店,吹田市,コンビニ・スーパー,,,,,-,-,大阪府吹田市原町2丁目36-1
生わんたんらぁめん専門店 赤黄緑 関大前店,関大前駅 151m,ラーメン,,3.12,22,185,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里山東1-5-11
鳥ぷろ デュー阪急山田店,山田駅 74m,鳥料理、弁当、惣菜・デリ,,3.01,6,57,-,-,大阪府吹田市山田西4-1-2 デュー阪急山田 1F
五郎っぺ食堂 ららぽーとEXPOCITY店,万博記念公園駅 461m,鉄板焼き、お好み焼き、ラーメン,,3.26,108,906,～￥999,～￥999,大阪府吹田市千里万博公園2-1
居酒屋 おはこ,吹田（ＪＲ）駅 270m,居酒屋,,3.05,8,194,"￥2,000～￥2,999",-,大阪府吹田市昭和町10-20
Ventura,千里丘駅 483m,カフェ,,3.07,9,156,-,～￥999,大阪府吹田市長野東17-5 千里丘ＫＭハイツ 105
Ventura,吹田（ＪＲ）駅 480m,アメリカ料理,,3.18,15,864,-,"￥1,000～￥1,999",大阪府吹田市内本町2-1-20
鳥べえ,岸辺駅 792m,焼き鳥,,3.07,20,393,"￥3,000～￥3,999",-,大阪府吹田市岸部北2-4-26
クリーム本舗 吹田店,吹田市,洋菓子,,3,1,16,-,-,大阪府吹田市五月ヶ丘東13-18
ワールドグルメ タコス エル ノパル,公園東口駅 849m,売店,,3,3,10,-,-,大阪府吹田市千里万博公園3-3 C16ブロック付近
江坂フィッシュカンパニー,江坂駅 344m,イタリアン,,3.08,17,344,-,～￥999,大阪府吹田市広芝町5-37
炭焼やきとり わ,吹田（阪急）駅 507m,居酒屋,,3.05,3,34,-,-,大阪府吹田市穂波町3-21
旬彩天 つちや,江坂駅 602m,天ぷら、日本料理、海鮮,江坂の天ぷら会席。厳選された季節の食材を使用した、割烹と天ぷらの融合をご堪能下さい。,4.11,355,39202,"￥10,000～￥14,999","￥6,000～￥7,999",大阪府吹田市豊津町41-4
台湾甜商店 ららぽーとEXPOCITY店,万博記念公園駅 427m,台湾料理,,3.06,53,274,"￥1,000～￥1,999",-,大阪府吹田市千里万博公園2-1
お肉のコバヤシ,江坂駅 423m,惣菜・デリ,,3.07,14,291,-,～￥999,大阪府吹田市江の木町14
サーティワンアイスクリーム　 吹田五月が丘店,吹田市,ジェラート・アイスクリーム,,3.01,13,67,-,-,大阪府吹田市五月が丘北2-2
ブロンコビリー 吹田岸辺店,吹田市,ステーキ,,3.07,31,184,-,-,大阪府吹田市岸部北5-18-6
とん丼亭,岸辺駅 248m,丼,,3.34,93,1997,～￥999,～￥999,大阪府吹田市岸部南1-24-9
ミスタードーナツ ＪＲ吹田ショップ,吹田（ＪＲ）駅 68m,ドーナツ,,3.03,23,95,-,-,大阪府吹田市朝日町1-110
御菓子司　津村屋,吹田（ＪＲ）駅 497m,和菓子,,3.18,43,1377,～￥999,-,大阪府吹田市昭和町14-16
呑み処 直,吹田（阪急）駅 586m,居酒屋,,,5,,-,-,大阪府吹田市泉町3-12-6
福すし,吹田（ＪＲ）駅 154m,寿司,,3.03,8,71,-,～￥999,大阪府吹田市朝日町2
